a,b,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_q_bh,spearman_q_bh
omron_sbp_mmHg,omron_dbp_mmHg,52,0.8396435524290158,7.383489084163288e-15,0.8469515917409183,2.5194158785901196e-15,2.676514793009192e-13,1.217717674651891e-13
omron_sbp_mmHg,omron_hr_bpm,52,-0.008924871276797901,0.9499298356568093,-0.04473016164621382,0.7528600091873954,0.979193077039602,0.9135374740120235
omron_sbp_mmHg,pulse_pressure_mmHg,52,0.837735757921749,9.690407890644774e-15,0.835336334364624,1.3574085782107753e-14,3.2425595634080585e-13,4.92060609601406e-13
omron_sbp_mmHg,map_estimated_mmHg,52,0.9512986672911007,3.2938882046998356e-27,0.949309792545882,8.751609534333842e-27,2.3880689484073807e-25,6.344916912392036e-25
omron_sbp_mmHg,env_temperature_C,52,-0.17096748115560134,0.2255733527432643,-0.17168639047626166,0.2235991102294259,0.45011196533633013,0.4738311083669006
omron_sbp_mmHg,env_humidity_pct,52,0.0272159343552383,0.8481170480253507,0.018707593164411587,0.8952734125783423,0.9607575934662176,0.9534130172512166
omron_sbp_mmHg,env_pressure_hPa,52,0.32074044026043763,0.020433699320439272,0.3662672390283346,0.0075742083058689515,0.08546787696529888,0.04018025137869505
omron_sbp_mmHg,body_temperature_C,52,-0.007277345809437982,0.9591640394466541,-0.046557049037572296,0.7431050499905855,0.9800914286290127,0.9080075751289458
omron_sbp_mmHg,ppg_spo2_pct,52,-0.12289370271273041,0.385419994985935,-0.1557797948175277,0.27012024543866336,0.6163885949223593,0.5245638694902615
omron_sbp_mmHg,ppg_pulse_bpm,52,0.01405145347624846,0.921242959139149,0.017015903571736678,0.9046976460363717,0.9686932390644872,0.9575267056589335
omron_sbp_mmHg,samsung_sbp_mmHg,50,0.35342664498494364,0.01181134816068813,0.3562303529324053,0.011113212068631315,0.056460840108783925,0.05515111922529157
omron_sbp_mmHg,samsung_dbp_mmHg,50,0.355690131893218,0.011244899237985467,0.35301819659696376,0.011916131483275309,0.05496102436543459,0.05824176623848044
omron_sbp_mmHg,samsung_hr_bpm,50,0.18182210414108566,0.20632963954407646,0.1383908053709136,0.33783980856303586,0.4273971104841584,0.5847366687368194
omron_sbp_mmHg,samsung_spo2_pct,50,-0.16999575049218077,0.23789589073816547,-0.08180685245962666,0.5722241791378463,0.4682566175162986,0.7877136643195036
omron_sbp_mmHg,pm1,49,-0.06776677700532825,0.6436123996518951,0.08016071584811348,0.5840203042500768,0.858807956590719,0.7914293842641228
omron_sbp_mmHg,pm2_5,49,-0.06632205913640306,0.6507153492799125,0.0755539343821823,0.6058803130690374,0.8629913930998838,0.8159688426781154
omron_sbp_mmHg,pm10,49,-0.05561691399877125,0.7042705288304711,0.071699336327676,0.6244384319075815,0.8847882827193815,0.8281424325603596
omron_sbp_mmHg,samsung_stress_ordinal,49,-0.0781380312479691,0.5935745565553443,-0.12531991640335802,0.39090191496675153,0.8094198498481968,0.6221403126585261
omron_sbp_mmHg,sleep_duration_min,52,0.3531185920864332,0.010235176678395047,0.13566012223608515,0.33759844477403256,0.05210132899979532,0.5847366687368194
omron_sbp_mmHg,sleep_score,52,-0.1582392604466935,0.2625357655492693,-0.10307053153780085,0.4671497553000893,0.5053232655483723,0.6959251491628042
omron_sbp_mmHg,steps_daily,52,0.44895068233488966,0.0008427214948378463,0.40925732728510844,0.00259013958702333,0.007049689427970445,0.016095867433644977
omron_sbp_mmHg,ecg_report_hr_bpm,52,-0.1024041035773495,0.4700498154348213,-0.12659319385952508,0.37116639224343045,0.6931243041157535,0.6070025377014484
omron_sbp_mmHg,smoking_flag,52,0.3928221204031494,0.003969167512067031,0.4059118946461537,0.002830145196906917,0.023460286842080832,0.016864563844582313
omron_sbp_mmHg,coffee_flag,52,0.1150065407871693,0.41687032663036605,0.13907902503183067,0.325448553892562,0.6499591114129364,0.577837228339855
omron_sbp_mmHg,beer_flag,52,0.1775158470193311,0.20803234916473107,0.16113717449057544,0.25378388245702577,0.4288818572827394,0.5071568135191109
omron_sbp_mmHg,office_flag,52,-0.40162644121357677,0.0031662272495459366,-0.4373699792456231,0.00118592001891314,0.019675840765035462,0.009050442249600279
omron_sbp_mmHg,meal_flag,52,-0.2687580889987329,0.05403695030271802,-0.28321079152889017,0.04190335782126506,0.1715771779684842,0.13502193075740962
omron_sbp_mmHg,hour_decimal_local,52,0.008065833888315301,0.9547439111098861,-0.022909427737766934,0.8719300430033724,0.9800914286290127,0.9445178817108579
omron_sbp_mmHg,day_index,52,0.05408506424950264,0.703343456266246,0.10605682869342052,0.4542733671617314,0.8847882827193815,0.6881174179831856
omron_dbp_mmHg,omron_hr_bpm,52,-0.054910955354976775,0.699026545276554,-0.03772820408946923,0.7905912610595169,0.8847882827193815,0.9269264549314084
omron_dbp_mmHg,pulse_pressure_mmHg,52,0.4068049912788282,0.0027642207348154884,0.453586588763196,0.0007325110147265495,0.018203100242530773,0.00601211870577451
omron_dbp_mmHg,map_estimated_mmHg,52,0.9661852907975342,4.2942063669012515e-31,0.9655062199963971,7.003313194208904e-31,4.669949424005111e-29,6.092882478961746e-29
omron_dbp_mmHg,env_temperature_C,52,-0.2478836440834785,0.07642283729135563,-0.26690252816205073,0.05578231507992875,0.21435454902425377,0.16507011605285038
omron_dbp_mmHg,env_humidity_pct,52,0.11758208737346126,0.40644250303558893,0.13799385463443098,0.32927472061771357,0.6382761329259249,0.582254079141079
omron_dbp_mmHg,env_pressure_hPa,52,0.3514082943283081,0.010634545950308626,0.36399108099111477,0.007986407050132148,0.05256849418618468,0.04185647068442752
omron_dbp_mmHg,body_temperature_C,52,0.04413538582367908,0.7560442687251343,0.013588950245779021,0.9238274639640727,0.9212304114718023,0.9578069518035082
omron_dbp_mmHg,ppg_spo2_pct,52,-0.0062380809831703386,0.9649918178643473,-0.018628698995987722,0.8957126158481545,0.9800914286290127,0.9534130172512166
omron_dbp_mmHg,ppg_pulse_bpm,52,-0.029659259467869254,0.8346647188579503,0.014439353425657275,0.9190759639567375,0.9567595985796993,0.9578069518035082
omron_dbp_mmHg,samsung_sbp_mmHg,50,0.3195835920351103,0.023677042846031768,0.276370753542075,0.052036223092467464,0.09625713680396093,0.15791501658296203
